uid,anime_uid,Mean_score
1072,1827,9
1075,376,7
1076,2236,9
1077,1575,4
1078,57,7
1079,1830,10
1080,1013,10
1081,2246,10
1082,2026,8
1083,1887,9
1084,1530,9
1085,101,8
1086,1535,10
1087,849,10
1090,2476,7
1091,1965,7
1092,323,9
1093,953,9
1096,1210,9
1097,1722,7
1098,1818,9
1099,1198,6
1100,99,9
1101,98,9
1102,457,9
1103,174,7
1105,637,7
1107,637,2
1108,59,10
1111,1690,7
1112,66,8
1113,2034,10
1114,245,9
1115,486,9
1117,584,8
1118,152,7
1120,385,10
1121,73,10
1122,2025,7
1123,226,9
1124,66,8
1125,57,7
1126,68,7
1127,61,7
1128,62,6
1129,1250,7
1130,245,9
1132,323,10
1135,157,6
1136,1860,8
1137,854,3
1138,356,9
1139,1230,5
1141,2116,8
1142,104,9
1143,288,9
1145,2449,9
1146,58,10
1147,564,6
1148,1965,9
1149,1107,7
1155,269,7
1156,81,10
1157,20,1
1159,2002,3
1160,411,7
1161,486,10
1162,400,9
1163,782,9
1164,165,10
1165,2268,9
1166,205,6
1170,228,7
1171,30,9
1172,1887,9
1173,587,8
1177,2002,8
1178,430,9
1179,76,8
1180,77,8
1182,529,9
1183,1196,5
1186,384,9
1187,252,8
1189,2403,8
1191,1222,9
1192,889,10
1193,205,9
1194,109,7
1195,1519,8
1196,150,8
1197,2246,10
1198,609,9
1199,1002,10
1201,339,10
1202,2104,9
1203,940,9
1205,177,5
1206,357,7
1207,1699,9
1208,357,9
1209,47,9
1211,2602,8
1212,202,10
1213,45,9
1214,433,9
1215,346,6
1218,2104,10
1219,2204,10
1220,1140,7
1224,1015,8
1225,2236,6
1226,799,8
1227,813,8
1229,84,9
1230,856,8
1232,935,7
1233,2025,9
1235,1965,8
1237,256,7
1239,770,9
1242,1079,10
1243,379,1
1244,266,9
1246,2161,8
1249,1397,5
1251,267,10
1252,934,10
1253,1399,7
1254,319,4
1255,1555,8
1256,2001,7
1260,21,10
1261,2001,10
1262,1400,5
1263,48,8
1264,543,9
1265,263,8
1267,133,9
1269,570,8
1273,710,10
1276,1915,8
1277,2167,8
1280,2164,8
1282,1530,4
1285,2970,8
1286,2104,10
1287,248,7
1288,1086,8
1290,1793,7
1291,2236,8
1294,990,8
1295,455,7
1296,2595,5
1297,2927,9
1298,1691,8
1299,147,7
1300,30,5
1302,198,8
1303,62,6
1306,1398,3
1307,1569,9
1309,270,7
1310,416,10
1311,915,10
1313,476,9
1314,93,10
1317,3186,10
1319,121,9
1321,157,3
1327,2525,6
1328,2167,9
1330,43,10
1331,182,10
1332,48,5
1333,567,10
1334,19,9
1335,47,9
1336,1887,9
1338,47,8
1339,384,1
1340,326,6
1342,1262,6
1343,634,9
1344,1917,9
1345,687,10
1346,1916,8
1352,1037,3
1353,2559,9
1356,489,9
1363,840,8
1364,75,9
1365,530,9
1371,2476,9
1374,175,5
1375,1184,4
1377,202,8
1378,5,5
1381,226,9
1382,2167,10
1383,1482,9
1385,341,10
1390,146,10
1391,1535,10
1410,27,3
1411,831,9
1413,2104,9
1414,442,10
1416,66,7
1417,149,10
1418,2236,10
1419,121,10
1420,61,8
1423,2001,9
1424,197,6
1426,2680,10
1428,855,8
1429,853,10
1430,408,6
1432,28,9
1434,241,4
1440,242,7
1441,97,8
1442,136,8
1443,845,6
1444,569,10
1445,1168,10
1446,419,3
1449,1602,9
1450,195,8
1451,71,10
1453,132,4
1455,251,9
1460,789,5
1462,2923,9
1464,1017,6
1467,2034,8
1468,530,10
1469,1840,7
1470,850,8
1471,2603,4
1474,18,8
1475,1536,8
1477,2025,9
1483,1915,8
1485,269,5
1486,1575,10
1492,1699,9
1493,953,8
1494,267,10
1495,273,8
1496,509,9
1497,27,10
1498,1430,8
1500,1917,8
1501,1887,5
1504,1292,5
1505,1535,8
1506,1292,5
1507,252,7
1508,1916,9
1509,838,5
1515,531,10
1516,940,7
1517,1210,8
1518,636,3
1519,334,7
1520,181,8
1522,149,6
1523,889,10
1524,76,8
1525,1212,10
1526,1668,10
1527,2924,10
1528,2924,9
1529,1699,10
1530,1276,10
1531,1608,6
1532,1681,10
1533,836,6
1534,934,9
1535,285,6
1536,1688,10
1538,2178,3
1540,878,8
1541,133,6
1542,853,10
1543,356,10
1544,813,10
1546,20,10
1548,63,6
1550,1727,9
1551,457,10
1554,2404,8
1555,2251,5
1556,2251,8
1557,304,10
1558,731,10
1560,3002,10
1562,1243,9
1565,269,7
1566,176,9
1569,1690,3
1571,58,8
